ID;Depth from;Depth to;Soil Type;Soil Description;USCS
BHS17;5.5;6.5;SAND GRAVELLY COBBLY;Brownish red gravelly fine to coarse SAND with cobbles. Gravel is fine to coarse subangular and subrounded of sandstone and mudstone. Cobbles are subangular and subrounded of sandstone and mudstone. Possible weathered rock;
BHS18;0;1.4;MADE GROUND;MADE GROUND (brown gravelly clayey fine to coarse sand.  Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone);
BHS18;1.4;6;SAND CLAYEY GRAVELLY COBBLY;Brown gravelly slightly clayey coarse SAND with cobbles.  Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone.  Cobbles are angular to rounded of various lithologies including sandstone and mudstone;
BHS19;0;0.6;MADE GROUND;MADE GROUND (brown gravelly clayey fine to coarse sand with cobbles.  Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone);
BHS19;0.6;6;SAND GRAVELLY;Brown slightly gravelly fine to coarse SAND.  Gravel is fine subangular and subrounded of various lithologies including sandstone and mudstone;
BHS20;0;0.35;TOPSOIL;TOPSOIL (Brown gravelly slightly clayey fine to coarse sand with rootlets and cobbles.  Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone.  Cobbles are subangular and subrounded of various lithologies including sandstone and mudstone);
BHS20;0.35;2.6;SAND GRAVELLY;Brown gravelly coarse SAND. Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone;
BHS20;2.6;8;SAND SILTY GRAVELLY COBBLY;Medium dense yellow slightly gravelly slightly silty fine to coarse SAND with cobbles. Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone.  Cobbles are subangular and subrounded of various lithologies including sandstone and mudstone;
BHS21;0;0.2;TOPSOIL;# sandy gravelly TOPSOIL;
BHS21;0.2;5.2;SAND SILTY GRAVELLY COBBLY;Reddish brown very gravelly slightly silty fine to coarse SAND with cobbles and boulders.  Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone.  Cobbles are subangular and subrounded of various lithologies including sandstone and mudstone;
BHS21;5.2;5.6;GRAVEL SILTY SANDY COBBLY;Medium dense reddish brown slightly clayey silty fine to coarse SAND and fine to coarse subangular and subrounded GRAVEL of sandstone with cobbles.  Cobbles are subangular and subrounded of various lithologies including sandstone and mudstone  (possible weathered sandstone);
BHS21;5.6;6.75;SANDSTONE;Red SANDSTONE with some clayey/silty slightly sandy matrix recovered as slightly sandy fine to coarse angular gravel;
BHS22;0;0.05;TOPSOIL;# MOSS;
BHS22;0.05;0.2;TOPSOIL;# TOPSOIL (dark brown sand with rootlets);
BHS22;0.2;6;SAND SILTY GRAVELLY;Brown gravelly silty fine to coarse SAND. Gravel is fine subrounded and rounded of various lithologies including sandstone and mudstone;
BHS23;0;0.05;TOPSOIL;MOSS;
BHS23;0.05;0.4;TOPSOIL;TOPSOIL (soft brown gravelly silty peaty fine to coarse sand);
BHS23;0.4;2.3;SAND SILTY GRAVELLY;Brown gravelly very silty fine to coarse SAND. Gravel is fine and medium subangular and subrounded of various lithologies including sandstone and mudstone;
BHS23;2.3;6;SAND GRAVELLY COBBLY;Medium dense brown gravelly fine to coarse SAND with cobbles. Gravel is fine and medium subangular and subrounded of various lithologies including sandstone and mudstone. Cobbles are subrounded and rounded of various lithologies including sandstone and mudstone;
BHS24;0;0.3;TOPSOIL;TOPSOIL (dark brown slightly gravelly slightly silty fine to coarse sand with rootlets and traces of peat. Gravel is fine and medium, subrounded of various lithologies including sandstone and mudstone);
BHS24;0.3;1.2;SAND SILTY GRAVELLY;Brown slightly gravelly slightly silty fine to coarse SAND. Gravel is fine and medium, subrounded of various lithologies including sandstone and mudstone;
BHS24;1.2;1.7;CLAY GRAVELLY SANDY;Firm reddish brown slightly gravelly slightly sandy laminated CLAY with traces of vegetation. Clay is of low plasticity. Sand is fine and medium. Gravel is fine subrounded of various lithologies including sandstone and mudstone;
BHS24;1.7;2.8;SAND CLAYEY GRAVELLY;Brown slightly gravelly clayey fine to coarse SAND. Gravel is fine and medium, subrounded of various lithologies including sandstone and mudstone;
BHS24;2.8;3.7;SAND CLAYEY GRAVELLY;Loose brown slightly clayey fine to coarse SAND and fine to coarse subangular and subrounded GRAVEL of various lithologies including sandstone and mudstone;
BHS24;3.7;5;SAND SILTY GRAVELLY;Loose brown slightly gravelly very silty fine to coarse SAND. Gravel is fine to coarse, subangular and subrounded of various lithologies including sandstone and mudstone;
BHS24;5;6;GRAVEL CLAYEY SANDY;Medium dense brown slightly clayey fine to coarse SAND and fine to coarse subangular and subrounded GRAVEL of various lithologies including sandstone and mudstone;
BHS25;0;0.3;TOPSOIL;TOPSOIL (brown slightly gravelly silty fine to coarse sand with high rootlet content. Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone. Moss at surface);
BHS25;0.3;4.65;SAND SILTY GRAVELLY COBBLY;Orange brown gravelly slightly silty fine to coarse SAND with cobbles. Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone.  Cobbles are subrounded of various lithologies including sandstone and mudstone;
BHS25;4.65;6;SAND CLAYEY GRAVELLY COBBLY;Medium dense orange brown gravelly clayey fine to coarse SAND with cobbles and pockets of clay. Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone.  Cobbles are subrounded of various lithologies including sandstone and mudstone;
BHS26;0;0.3;TOPSOIL;TOPSOIL (loose dark brown gravelly very clayey fine to coarse sand.  Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone);
BHS26;0.3;4.8;MADE GROUND;MADE GROUND (brown very sandy silty fine to coarse angular to subrounded gravel of concrete fragments and various lithologies including sandstone and mudstone with cobbles. Sand is fine to coarse. Cobbles are angular to subrounded of various lithologies including sandstone and mudstone);
BHS26;4.8;7;SAND GRAVELLY COBBLY;Brownish red gravelly fine to coarse SAND with cobbles. Gravel is fine to coarse subangular and subrounded of various lithologies including sandstone and mudstone. Cobbles are subangular and subrounded of various lithologies including sandstone and mudstone;
